l1 0.093501, l2 0.119783, l3 0.0940253
2.28 , 37.2946 , -113.238 , 34.2065
2.28 , 37.2365 , -113.348 , 34.2325
2.29 , 37.2946 , -113.214 , 34.2065
2.29 , 37.2365 , -113.348 , 34.2325
2.3 , 37.2946 , -113.238 , 34.2303
2.3 , 37.2365 , -113.348 , 34.2325
2.31 , 37.2946 , -113.238 , 34.2065
2.31 , 37.2365 , -113.348 , 34.2325
2.32 , 37.2946 , -113.214 , 34.1115
2.32 , 37.2365 , -113.348 , 34.2325
2.33 , 37.2946 , -113.238 , 34.2065
2.33 , 37.2365 , -113.348 , 34.2325
2.34 , 37.2946 , -113.19 , 34.2303
2.34 , 37.2365 , -113.348 , 34.2325
2.35 , 37.2946 , -113.262 , 34.2303
2.35 , 37.2365 , -113.348 , 34.2325
2.36 , 37.2946 , -113.214 , 34.1828
2.36 , 37.2365 , -113.348 , 34.2325
2.37 , 37.2946 , -113.238 , 34.2065
2.37 , 37.2365 , -113.348 , 34.2325
2.38 , 37.2709 , -113.238 , 34.2065
2.38 , 37.2365 , -113.348 , 34.2325
2.39 , 37.2946 , -113.238 , 34.1828
2.39 , 37.2365 , -113.348 , 34.2325
2.4 , 37.2709 , -113.238 , 34.1828
2.4 , 37.2365 , -113.348 , 34.2325
2.41 , 37.2946 , -113.238 , 34.2065
2.41 , 37.2365 , -113.348 , 34.2325
2.42 , 37.2709 , -113.214 , 34.2065
2.42 , 37.2365 , -113.348 , 34.2325
2.43 , 37.2946 , -113.238 , 34.2065
2.43 , 37.2365 , -113.348 , 34.2325
2.44 , 37.2946 , -113.238 , 34.2303
2.44 , 37.2365 , -113.348 , 34.2325
2.45 , 37.2946 , -113.262 , 34.2065
2.45 , 37.2365 , -113.348 , 34.2325
2.46 , 37.2946 , -113.238 , 34.2065
2.46 , 37.2365 , -113.348 , 34.2325
2.47 , 37.2709 , -113.238 , 34.2065
2.47 , 37.2365 , -113.348 , 34.2325
2.48 , 37.2709 , -113.238 , 34.2065
2.48 , 37.2365 , -113.348 , 34.2325
2.49 , 37.2709 , -113.238 , 34.2065
2.49 , 37.2365 , -113.348 , 34.2325
2.5 , 37.2709 , -113.285 , 34.2065
2.5 , 37.2365 , -113.348 , 34.2325
2.51 , 37.2709 , -113.262 , 34.2303
2.51 , 37.2365 , -113.348 , 34.2325
2.52 , 37.2946 , -113.214 , 34.2065
2.52 , 37.2365 , -113.348 , 34.2325
2.53 , 37.2946 , -113.285 , 34.2065
2.53 , 37.2365 , -113.348 , 34.2325
2.54 , 37.3184 , -113.238 , 34.2065
2.54 , 37.2365 , -113.348 , 34.2325
2.55 , 37.2946 , -113.167 , 34.254
2.55 , 37.2365 , -113.348 , 34.2325
2.56 , 37.2946 , -113.238 , 34.2065
2.56 , 37.2365 , -113.348 , 34.2325
2.57 , 37.2946 , -113.262 , 34.1828
2.57 , 37.2365 , -113.348 , 34.2325
2.58 , 37.2946 , -113.214 , 34.2065
2.58 , 37.2365 , -113.348 , 34.2325
2.59 , 37.2946 , -113.238 , 34.2065
2.59 , 37.2365 , -113.348 , 34.2325
2.6 , 37.2946 , -113.214 , 34.2065
2.6 , 37.2365 , -113.348 , 34.2325
2.61 , 37.2946 , -113.262 , 34.2065
2.61 , 37.2365 , -113.348 , 34.2325
2.62 , 37.2709 , -113.262 , 34.2303
2.62 , 37.2365 , -113.348 , 34.2325
2.63 , 37.2946 , -113.238 , 34.2303
2.63 , 37.2365 , -113.348 , 34.2325
