0, -nan, -nan, -nan, -nan
6.875, 1, 1, -1.05847, 0.0590864
6.9, 1, 1, -1.05823, 0.0588652
6.925, 1, 1, -1.05824, 0.0588791
6.95, 1, 1, -1.05824, 0.0588791
6.975, 1, 1, -1.05826, 0.0589118
7, 1, 1, -1.05826, 0.0589118
7.025, 1, 1, -1.05826, 0.0589118
7.05, 1, 1, -1.05826, 0.0589118
7.075, 1, 1, -1.05807, 0.0587387
7.1, 1, 1, -1.05779, 0.0584383
7.125, 1, 1, -1.05746, 0.0580736
7.15, 1, 1, -1.05746, 0.0580736
7.175, 1, 1, -1.05749, 0.0580995
7.2, 1, 1, -1.05757, 0.0581825
7.225, 1, 1, -1.05757, 0.0581825
7.25, 1, 1, -1.05757, 0.0581825
7.275, 1, 1, -1.0573, 0.0579323
7.3, 1, 1, -1.05688, 0.0574946
7.325, 1, 1, -1.05688, 0.0574946
7.35, 1, 1, -1.059, 0.0595168
7.375, 1, 1, -1.059, 0.0595168
7.4, 1, 1, -1.06105, 0.0615076
7.425, 1, 1, -1.06136, 0.0617501
7.45, 1, 1, -1.06153, 0.0618861
7.475, 1, 1, -1.06153, 0.0618861
7.5, 1, 1, -1.06177, 0.0621123
7.525, 1, 1, -1.06177, 0.0621123
7.55, 1, 1, -1.0635, 0.0637266
7.575, 1, 1, -1.06572, 0.0657884
7.6, 1, 1, -1.06803, 0.0679747
7.625, 1, 1, -1.06803, 0.0679747
7.65, 1, 1, -1.06803, 0.0679747
7.675, 1, 1, -1.07275, 0.072565
7.7, 1, 1, -1.07275, 0.072565
7.725, 1, 1, -1.07275, 0.072565
7.75, 1, 1, -1.07275, 0.072565
7.775, 1, 1, -1.07275, 0.072565
7.8, 1, 1, -1.07275, 0.072565
7.825, 1, 1, -1.07362, 0.0734027
7.85, 1, 1, -1.07362, 0.0734027
7.875, 1, 1, -1.07362, 0.0734027
7.9, 1, 1, -1.07362, 0.0734027
7.925, 1, 1, -1.07362, 0.0734027
7.95, 1, 1, -1.07362, 0.0734027
7.975, 1, 1, -1.07362, 0.0734027
8, 1, 1, -1.07362, 0.0734027
8.025, 1, 1, -1.07362, 0.0734027
8.05, 1, 1, -1.07362, 0.0734027
8.075, 1, 1, -1.07362, 0.0734027
8.1, 1, 1, -1.0745, 0.0743145
8.125, 1, 1, -1.0745, 0.0743145
8.15, 1, 1, -1.0745, 0.0743145
8.175, 1, 1, -1.0745, 0.0743145
8.2, 1, 1, -1.0742, 0.0740016
8.225, 1, 1, -1.0742, 0.0740016
8.25, 1, 1, -1.07397, 0.0738348
8.275, 1, 1, -1.07254, 0.0725097
8.3, 1, 1, -1.07142, 0.071489
8.325, 1, 1, -1.07036, 0.0705164
8.35, 1, 1, -1.07036, 0.0705164
8.375, 1, 1, -1.07036, 0.0705164
8.4, 1, 1, -1.07036, 0.0705164
8.425, 1, 1, -1.07373, 0.0739243
8.45, 1, 1, -1.07373, 0.0739243
8.475, 1, 1, -1.0772, 0.0775189
8.5, 1, 1, -1.07836, 0.0788068
8.525, 1, 1, -1.07935, 0.0799148
8.55, 1, 1, -1.08013, 0.0807919
8.575, 1, 1, -1.08089, 0.0816453
8.6, 1, 1, -1.08089, 0.0816453
8.625, 1, 1, -1.08089, 0.0816453
8.65, 1, 1, -1.0895, 0.0903489
8.675, 1, 1, -1.0895, 0.0903489
8.7, 1, 1, -1.0895, 0.0903489
8.725, 1, 1, -1.09487, 0.0957699
8.75, 1, 1, -1.09676, 0.097717
8.775, 1, 1, -1.09676, 0.097717
8.8, 1, 1, -1.09676, 0.097717
8.825, 1, 1, -1.09676, 0.097717
8.85, 1, 1, -1.09676, 0.097717
8.875, 1, 1, -1.09676, 0.097717
8.9, 1, 1, -1.09596, 0.0970249
8.925, 1, 1, -1.10006, 0.101192
8.95, 1, 1, -1.10006, 0.101192
8.975, 1, 1, -1.10006, 0.101192
9, 1, 1, -1.10006, 0.101192
9.025, 1, 1, -1.10006, 0.101192
9.05, 1, 1, -1.10006, 0.101192
9.075, 1, 1, -1.10006, 0.101192
9.1, 1, 1, -1.10006, 0.101192
9.125, 1, 1, -1.09342, 0.0946329
9.15, 1, 1, -1.09342, 0.0946329
9.175, 1, 1, -1.09336, 0.0945525
9.2, 1, 1, -1.09336, 0.0945525
9.225, 1, 1, -1.09336, 0.0945525
9.25, 1, 1, -1.09336, 0.0945525
9.275, 1, 1, -1.09336, 0.0945525
9.3, 1, 1, -1.09392, 0.0951065
9.325, 1, 1, -1.09392, 0.0951065
9.35, 1, 1, -1.09392, 0.0951065
9.375, 1, 1, -1.09794, 0.0990506
9.4, 1, 1, -1.09764, 0.0986726
9.425, 1, 1, -1.09764, 0.0986726
9.45, 1, 1, -1.09764, 0.0986726
9.475, 1, 1, -1.09764, 0.0986726
9.5, 1, 1, -1.09764, 0.0986726
9.525, 1, 1, -1.09803, 0.0990532
9.55, 1, 1, -1.09803, 0.0990532
9.575, 1, 1, -1.09803, 0.0990532
9.6, 1, 1, -1.09803, 0.0990532
9.625, 1, 1, -1.09803, 0.0990532
9.65, 1, 1, -1.09803, 0.0990532
9.675, 1, 1, -1.1114, 0.112281
9.7, 1, 1, -1.11469, 0.115404
9.725, 1, 1, -1.1169, 0.117467
9.75, 1, 1, -1.1169, 0.117467
9.775, 1, 1, -1.1169, 0.117467
9.8, 1, 1, -1.1169, 0.117467
9.825, 1, 1, -1.12349, 0.123895
9.85, 1, 1, -1.1266, 0.126871
9.875, 1, 1, -1.12833, 0.128514
9.9, 1, 1, -1.12833, 0.128514
9.925, 1, 1, -1.12833, 0.128514
9.95, 1, 1, -1.12833, 0.128514
9.975, 1, 1, -1.12833, 0.128514
10, 1, 1, -1.12833, 0.128514
10.025, 1, 1, -1.12833, 0.128514
10.05, 1, 1, -1.12833, 0.128514
10.075, 1, 1, -1.12848, 0.128749
10.1, 1, 1, -1.12748, 0.127848
10.125, 1, 1, -1.12683, 0.127295
10.15, 1, 1, -1.12672, 0.127204
10.175, 1, 1, -1.12713, 0.127595
10.2, 1, 1, -1.12713, 0.127595
10.225, 1, 1, -1.12794, 0.128341
10.25, 1, 1, -1.12794, 0.128341
10.275, 1, 1, -1.12781, 0.128223
10.3, 1, 1, -1.12781, 0.128223
10.325, 1, 1, -1.12781, 0.128223
10.35, 1, 1, -1.12781, 0.128223
10.375, 1, 1, -1.12781, 0.128223
10.4, 1, 1, -1.12781, 0.128223
10.425, 1, 1, -1.12697, 0.127379
10.45, 1, 1, -1.12735, 0.127844
10.475, 1, 1, -1.12735, 0.127844
10.5, 1, 1, -1.12848, 0.129006
10.525, 1, 1, -1.12848, 0.129006
10.55, 1, 1, -1.12848, 0.129006
10.575, 1, 1, -1.13018, 0.130741
10.6, 1, 1, -1.13018, 0.130741
10.625, 1, 1, -1.13018, 0.130741
10.65, 1, 1, -1.13018, 0.130741
10.675, 1, 1, -1.13018, 0.130741
10.7, 1, 1, -1.13233, 0.132905
10.725, 1, 1, -1.13233, 0.132905
10.75, 1, 1, -1.1381, 0.138766
10.775, 1, 1, -1.1381, 0.138766
10.8, 1, 1, -1.14328, 0.14401
10.825, 1, 1, -1.14602, 0.14681
10.85, 1, 1, -1.14602, 0.14681
10.875, 1, 1, -1.14602, 0.14681
10.9, 1, 1, -1.14602, 0.14681
10.925, 1, 1, -1.14602, 0.14681
10.95, 1, 1, -1.14602, 0.14681
10.975, 1, 1, -1.14602, 0.14681
11, 1, 1, -1.14655, 0.147367
11.025, 1, 1, -1.14713, 0.147962
11.05, 1, 1, -1.14713, 0.147962
11.075, 1, 1, -1.14713, 0.147962
11.1, 1, 1, -1.14713, 0.147962
11.125, 1, 1, -1.14748, 0.148302
11.15, 1, 1, -1.14662, 0.147417
11.175, 1, 1, -1.14678, 0.147579
11.2, 1, 1, -1.14678, 0.147579
11.225, 1, 1, -1.14678, 0.147579
11.25, 1, 1, -1.14678, 0.147579
11.275, 1, 1, -1.14678, 0.147579
11.3, 1, 1, -1.14678, 0.147579
11.325, 1, 1, -1.14678, 0.147579
11.35, 1, 1, -1.14662, 0.147421
11.375, 1, 1, -1.14662, 0.147421
11.4, 1, 1, -1.14662, 0.147421
11.425, 1, 1, -1.14662, 0.147421
11.45, 1, 1, -1.14054, 0.141403
11.475, 1, 1, -1.14054, 0.141403
11.5, 1, 1, -1.14054, 0.141403
11.525, 1, 1, -1.14054, 0.141403
11.55, 1, 1, -1.14054, 0.141403
11.575, 1, 1, -1.14134, 0.142179
11.6, 1, 1, -1.14134, 0.142179
11.625, 1, 1, -1.14228, 0.14306
11.65, 1, 1, -1.14228, 0.14306
11.675, 1, 1, -1.14228, 0.14306
11.7, 1, 1, -1.14228, 0.14306
11.725, 1, 1, -1.14228, 0.14306
11.75, 1, 1, -1.14228, 0.14306
11.775, 1, 1, -1.14228, 0.14306
11.8, 1, 1, -1.14228, 0.14306
11.825, 1, 1, -1.14228, 0.14306
11.85, 1, 1, -1.14228, 0.14306
11.875, 1, 1, -1.14228, 0.14306
11.9, 1, 1, -1.13457, 0.135388
11.925, 1, 1, -1.13918, 0.139821
11.95, 1, 1, -1.1425, 0.143033
11.975, 1, 1, -1.14436, 0.144813
12, 1, 1, -1.14436, 0.144813
12.025, 1, 1, -1.14494, 0.145364
12.05, 1, 1, -1.14523, 0.145646
12.075, 1, 1, -1.14523, 0.145646
12.1, 1, 1, -1.14536, 0.145753
12.125, 1, 1, -1.14536, 0.145753
