pos1 40.8976, pos2 -146.655, pos3 37.1572
1.75 , 40.8976 , -146.655 , 37.1572
1.76 , 39.9076 , -146.019 , 37.0571
1.76 , 40.8976 , -146.655 , 37.1572
1.77 , 39.9076 , -146.067 , 37.0571
1.77 , 40.8976 , -146.655 , 37.1572
1.78 , 39.9314 , -146.067 , 37.0571
1.78 , 40.8976 , -146.655 , 37.1572
1.79 , 39.9314 , -146.043 , 37.0571
1.79 , 40.8976 , -146.655 , 37.1572
1.8 , 40.0026 , -146.043 , 37.0096
1.8 , 40.8976 , -146.655 , 37.1572
1.81 , 40.0501 , -146.043 , 37.0333
1.81 , 40.8976 , -146.655 , 37.1572
1.82 , 40.0264 , -146.09 , 36.9858
1.82 , 40.8976 , -146.655 , 37.1572
1.83 , 40.0264 , -146.067 , 36.9858
1.83 , 40.8976 , -146.655 , 37.1572
1.84 , 40.0026 , -146.043 , 36.9383
1.84 , 40.8976 , -146.655 , 37.1572
1.85 , 39.9551 , -146.067 , 36.9858
1.85 , 40.8976 , -146.655 , 37.1572
1.86 , 39.9076 , -146.043 , 36.9383
1.86 , 40.8976 , -146.655 , 37.1572
1.87 , 39.9076 , -146.043 , 36.9621
1.87 , 40.8976 , -146.655 , 37.1572
1.88 , 39.9076 , -146.067 , 36.9383
1.88 , 40.8976 , -146.655 , 37.1572
1.89 , 39.9076 , -146.043 , 36.9858
1.89 , 40.8976 , -146.655 , 37.1572
1.9 , 39.9551 , -146.019 , 36.8908
1.9 , 40.8976 , -146.655 , 37.1572
1.91 , 40.0264 , -146.019 , 36.9383
1.91 , 40.8976 , -146.655 , 37.1572
1.92 , 40.0739 , -146.067 , 36.9145
1.92 , 40.8976 , -146.655 , 37.1572
1.93 , 40.0739 , -146.043 , 36.9383
1.93 , 40.8976 , -146.655 , 37.1572
1.94 , 40.0739 , -146.043 , 36.9858
1.94 , 40.8976 , -146.655 , 37.1572
1.95 , 40.0501 , -146.043 , 36.9383
1.95 , 40.8976 , -146.655 , 37.1572
1.96 , 40.0026 , -146.019 , 36.9383
1.96 , 40.8976 , -146.655 , 37.1572
1.97 , 39.9314 , -146.043 , 36.9145
1.97 , 40.8976 , -146.655 , 37.1572
1.98 , 39.9076 , -146.09 , 36.9383
1.98 , 40.8976 , -146.655 , 37.1572
1.99 , 39.9076 , -146.043 , 36.9621
1.99 , 40.8976 , -146.655 , 37.1572
pos1 85.3824, pos2 -128.982, pos3 -25.0046
0 , 40.4065 , -145.948 , 36.9145
0 , 85.3824 , -128.982 , -25.0046
0.01 , 42.1643 , -144.333 , 36.2019
0.01 , 85.3824 , -128.982 , -25.0046
0.02 , 43.4233 , -143.145 , 34.5629
0.02 , 85.3824 , -128.982 , -25.0046
0.03 , 44.9198 , -141.648 , 32.6387
0.03 , 85.3824 , -128.982 , -25.0046
0.04 , 46.06 , -140.413 , 31.9023
0.04 , 85.3824 , -128.982 , -25.0046
0.05 , 47.224 , -139.154 , 31.2372
0.05 , 85.3824 , -128.982 , -25.0046
0.06 , 48.5543 , -137.8 , 28.6717
0.06 , 85.3824 , -128.982 , -25.0046
0.07 , 49.742 , -136.684 , 26.7001
0.07 , 85.3824 , -128.982 , -25.0046
0.08 , 50.9297 , -135.543 , 26.6051
0.08 , 85.3824 , -128.982 , -25.0046
0.09 , 52.1412 , -134.284 , 26.1537
0.09 , 85.3824 , -128.982 , -25.0046
0.1 , 53.2577 , -133.002 , 24.6097
0.1 , 85.3824 , -128.982 , -25.0046
0.11 , 54.5167 , -131.838 , 22.9231
0.11 , 85.3824 , -128.982 , -25.0046
0.12 , 55.6569 , -130.674 , 21.3316
0.12 , 85.3824 , -128.982 , -25.0046
0.13 , 56.9396 , -129.533 , 20.4764
0.13 , 85.3824 , -128.982 , -25.0046
0.14 , 58.0561 , -128.084 , 19.7875
0.14 , 85.3824 , -128.982 , -25.0046
0.15 , 59.1963 , -127.633 , 18.386
0.15 , 85.3824 , -128.982 , -25.0046
0.16 , 60.5503 , -127.609 , 16.9607
0.16 , 85.3824 , -128.982 , -25.0046
0.17 , 61.7855 , -127.586 , 15.7968
0.17 , 85.3824 , -128.982 , -25.0046
0.18 , 62.9495 , -127.609 , 14.3952
0.18 , 85.3824 , -128.982 , -25.0046
0.19 , 64.0897 , -127.586 , 13.0175
0.19 , 85.3824 , -128.982 , -25.0046
0.2 , 65.3487 , -127.609 , 12.4236
0.2 , 85.3824 , -128.982 , -25.0046
0.21 , 66.584 , -127.633 , 11.3072
0.21 , 85.3824 , -128.982 , -25.0046
0.22 , 67.843 , -127.728 , 9.54932
0.22 , 85.3824 , -128.982 , -25.0046
0.23 , 69.0307 , -127.728 , 8.43286
0.23 , 85.3824 , -128.982 , -25.0046
0.24 , 70.1709 , -127.823 , 7.38766
0.24 , 85.3824 , -128.982 , -25.0046
0.25 , 71.3824 , -127.871 , 6.05741
0.25 , 85.3824 , -128.982 , -25.0046
0.26 , 72.6889 , -127.823 , 4.77466
0.26 , 85.3824 , -128.982 , -25.0046
0.27 , 73.9004 , -127.989 , 3.34939
0.27 , 85.3824 , -128.982 , -25.0046
0.28 , 75.1356 , -127.989 , 2.28044
0.28 , 85.3824 , -128.982 , -25.0046
0.29 , 76.2996 , -128.013 , 1.68657
0.29 , 85.3824 , -128.982 , -25.0046
0.3 , 77.4635 , -128.037 , 0.142527
0.3 , 85.3824 , -128.982 , -25.0046
0.31 , 78.6988 , -128.037 , -2.04289
0.31 , 85.3824 , -128.982 , -25.0046
0.32 , 79.8865 , -128.037 , -2.92181
0.32 , 85.3824 , -128.982 , -25.0046
0.33 , 81.1693 , -127.989 , -3.11184
0.33 , 85.3824 , -128.982 , -25.0046
0.34 , 82.2857 , -127.989 , -4.65589
0.34 , 85.3824 , -128.982 , -25.0046
0.35 , 83.521 , -127.989 , -6.29495
0.35 , 85.3824 , -128.982 , -25.0046
0.36 , 84.7087 , -127.989 , -7.41142
0.36 , 85.3824 , -128.982 , -25.0046
0.37 , 85.4213 , -127.989 , -8.6229
0.37 , 85.3824 , -128.982 , -25.0046
0.38 , 85.3976 , -127.918 , -9.50181
0.38 , 85.3824 , -128.982 , -25.0046
0.39 , 85.3263 , -127.942 , -10.8558
0.39 , 85.3824 , -128.982 , -25.0046
0.4 , 84.97 , -127.918 , -12.6612
0.4 , 85.3824 , -128.982 , -25.0046
0.41 , 84.875 , -127.871 , -13.4688
0.41 , 85.3824 , -128.982 , -25.0046
0.42 , 84.8512 , -127.894 , -14.2527
0.42 , 85.3824 , -128.982 , -25.0046
0.43 , 84.8512 , -127.894 , -15.9155
0.43 , 85.3824 , -128.982 , -25.0046
0.44 , 84.8512 , -127.871 , -17.0795
0.44 , 85.3824 , -128.982 , -25.0046
0.45 , 84.8512 , -127.894 , -18.1722
0.45 , 85.3824 , -128.982 , -25.0046
0.46 , 84.8512 , -127.871 , -19.74
0.46 , 85.3824 , -128.982 , -25.0046
0.47 , 84.8512 , -127.871 , -21.1178
0.47 , 85.3824 , -128.982 , -25.0046
0.48 , 85.065 , -127.966 , -22.0205
0.48 , 85.3824 , -128.982 , -25.0046
0.49 , 85.1125 , -127.894 , -22.8756
0.49 , 85.3824 , -128.982 , -25.0046
0.5 , 85.0887 , -127.871 , -23.6833
0.5 , 85.3824 , -128.982 , -25.0046
0.51 , 85.0887 , -127.942 , -24.871
0.51 , 85.3824 , -128.982 , -25.0046
