l1 0.093501, l2 0.119783, l3 0.0940253
2.02 , 37.2365 , -113.348 , 34.2325
2.03 , 35.8931 , -84.9225 , 29.8832
2.03 , 37.2365 , -113.348 , 34.2325
2.04 , 35.9644 , -85.5163 , 29.8595
2.04 , 37.2365 , -113.348 , 34.2325
2.05 , 35.9644 , -86.9654 , 29.907
2.05 , 37.2365 , -113.348 , 34.2325
2.06 , 35.9644 , -90.7423 , 29.9545
2.06 , 37.2365 , -113.348 , 34.2325
2.07 , 35.9881 , -91.9301 , 29.9545
2.07 , 37.2365 , -113.348 , 34.2325
2.08 , 36.0356 , -93.1653 , 29.9307
2.08 , 37.2365 , -113.348 , 34.2325
2.09 , 35.9644 , -96.681 , 29.9782
2.09 , 37.2365 , -113.348 , 34.2325
2.1 , 36.0356 , -98.3675 , 30.002
2.1 , 37.2365 , -113.348 , 34.2325
2.11 , 36.0356 , -100.268 , 30.002
2.11 , 37.2365 , -113.348 , 34.2325
2.12 , 36.0356 , -104.686 , 29.9782
2.12 , 37.2365 , -113.348 , 34.2325
2.13 , 36.0594 , -105.161 , 29.9782
2.13 , 37.2365 , -113.348 , 34.2325
2.14 , 36.0831 , -105.898 , 29.9782
2.14 , 37.2365 , -113.348 , 34.2325
2.15 , 36.0594 , -108.154 , 29.9782
2.15 , 37.2365 , -113.348 , 34.2325
2.16 , 36.0594 , -108.463 , 29.9782
2.16 , 37.2365 , -113.348 , 34.2325
2.17 , 36.0831 , -109.033 , 29.9782
2.17 , 37.2365 , -113.348 , 34.2325
2.18 , 36.0831 , -109.936 , 29.9545
2.18 , 37.2365 , -113.348 , 34.2325
2.19 , 36.0831 , -109.96 , 29.9782
2.19 , 37.2365 , -113.348 , 34.2325
2.2 , 36.1306 , -110.221 , 29.9782
2.2 , 37.2365 , -113.348 , 34.2325
2.21 , 36.0831 , -110.649 , 29.9782
2.21 , 37.2365 , -113.348 , 34.2325
2.22 , 36.0831 , -110.815 , 30.002
2.22 , 37.2365 , -113.348 , 34.2325
2.23 , 36.1069 , -111.029 , 30.002
2.23 , 37.2365 , -113.348 , 34.2325
2.24 , 36.1069 , -111.242 , 29.9545
2.24 , 37.2365 , -113.348 , 34.2325
2.25 , 36.0831 , -111.741 , 29.9545
2.25 , 37.2365 , -113.348 , 34.2325
2.26 , 36.1069 , -111.836 , 29.9545
2.26 , 37.2365 , -113.348 , 34.2325
2.27 , 36.1069 , -111.836 , 29.9782
2.27 , 37.2365 , -113.348 , 34.2325
2.28 , 36.1306 , -111.884 , 29.9782
2.28 , 37.2365 , -113.348 , 34.2325
2.29 , 36.1306 , -111.955 , 29.9782
2.29 , 37.2365 , -113.348 , 34.2325
2.3 , 36.1306 , -111.979 , 29.9782
2.3 , 37.2365 , -113.348 , 34.2325
2.31 , 36.1069 , -112.003 , 29.9545
2.31 , 37.2365 , -113.348 , 34.2325
2.32 , 36.1544 , -112.074 , 29.9782
2.32 , 37.2365 , -113.348 , 34.2325
2.33 , 36.1544 , -112.145 , 29.9782
2.33 , 37.2365 , -113.348 , 34.2325
2.34 , 36.1544 , -112.264 , 29.907
2.34 , 37.2365 , -113.348 , 34.2325
2.35 , 36.1306 , -112.335 , 29.9782
2.35 , 37.2365 , -113.348 , 34.2325
2.36 , 36.1782 , -112.858 , 29.9782
2.36 , 37.2365 , -113.348 , 34.2325
2.37 , 36.1782 , -113.737 , 30.002
2.37 , 37.2365 , -113.348 , 34.2325
2.38 , 36.1782 , -113.737 , 30.002
2.38 , 37.2365 , -113.348 , 34.2325
2.39 , 36.2019 , -113.927 , 29.9782
2.39 , 37.2365 , -113.348 , 34.2325
2.4 , 36.1782 , -113.927 , 29.9782
2.4 , 37.2365 , -113.348 , 34.2325
2.41 , 36.1782 , -113.927 , 29.9545
2.41 , 37.2365 , -113.348 , 34.2325
2.42 , 36.2257 , -113.927 , 29.9782
2.42 , 37.2365 , -113.348 , 34.2325
2.43 , 36.2257 , -113.927 , 29.9782
2.43 , 37.2365 , -113.348 , 34.2325
2.44 , 36.2257 , -113.927 , 30.0257
2.44 , 37.2365 , -113.348 , 34.2325
2.45 , 36.2494 , -113.927 , 30.0257
2.45 , 37.2365 , -113.348 , 34.2325
2.46 , 36.2494 , -113.927 , 30.002
2.46 , 37.2365 , -113.348 , 34.2325
2.47 , 36.2257 , -113.927 , 30.0257
2.47 , 37.2365 , -113.348 , 34.2325
2.48 , 36.2257 , -113.927 , 30.1208
2.48 , 37.2365 , -113.348 , 34.2325
2.49 , 36.2494 , -113.927 , 30.2395
2.49 , 37.2365 , -113.348 , 34.2325
2.5 , 36.2732 , -113.927 , 30.2633
2.5 , 37.2365 , -113.348 , 34.2325
2.51 , 36.2494 , -113.927 , 30.2633
2.51 , 37.2365 , -113.348 , 34.2325
2.52 , 36.2732 , -113.951 , 30.2633
2.52 , 37.2365 , -113.348 , 34.2325
2.53 , 36.2969 , -113.951 , 30.2633
2.53 , 37.2365 , -113.348 , 34.2325
2.54 , 36.3682 , -113.927 , 30.2633
2.54 , 37.2365 , -113.348 , 34.2325
2.55 , 36.2732 , -113.927 , 30.2395
2.55 , 37.2365 , -113.348 , 34.2325
2.56 , 36.2969 , -113.927 , 30.287
2.56 , 37.2365 , -113.348 , 34.2325
2.57 , 36.2969 , -113.927 , 30.287
2.57 , 37.2365 , -113.348 , 34.2325
2.58 , 36.2732 , -113.951 , 30.2633
2.58 , 37.2365 , -113.348 , 34.2325
2.59 , 36.2969 , -113.951 , 30.3108
2.59 , 37.2365 , -113.348 , 34.2325
2.6 , 36.2969 , -113.927 , 30.4296
2.6 , 37.2365 , -113.348 , 34.2325
2.61 , 36.2732 , -113.927 , 30.6434
2.61 , 37.2365 , -113.348 , 34.2325
2.62 , 36.3207 , -113.951 , 30.7384
2.62 , 37.2365 , -113.348 , 34.2325
2.63 , 36.2969 , -113.927 , 30.9759
2.63 , 37.2365 , -113.348 , 34.2325
2.64 , 36.2494 , -113.951 , 31.166
2.64 , 37.2365 , -113.348 , 34.2325
2.65 , 36.3444 , -113.951 , 31.546
2.65 , 37.2365 , -113.348 , 34.2325
2.66 , 36.3207 , -113.951 , 31.7836
2.66 , 37.2365 , -113.348 , 34.2325
2.67 , 36.2969 , -113.974 , 32.0686
2.67 , 37.2365 , -113.348 , 34.2325
2.68 , 36.3207 , -113.927 , 32.2112
2.68 , 37.2365 , -113.348 , 34.2325
2.69 , 36.3207 , -113.974 , 32.4962
2.69 , 37.2365 , -113.348 , 34.2325
