l1 0.093501, l2 0.119783, l3 0.0940253
1.25 , 32.9 , -109.888 , 32.3537
1.25 , 37.2365 , -113.348 , 34.2325
1.26 , 32.8763 , -109.888 , 32.3774
1.26 , 37.2365 , -113.348 , 34.2325
1.27 , 32.9 , -109.936 , 32.3537
1.27 , 37.2365 , -113.348 , 34.2325
1.28 , 32.9 , -109.936 , 32.3537
1.28 , 37.2365 , -113.348 , 34.2325
1.29 , 32.8763 , -109.912 , 32.3774
1.29 , 37.2365 , -113.348 , 34.2325
1.3 , 32.9 , -109.936 , 32.3537
1.3 , 37.2365 , -113.348 , 34.2325
1.31 , 32.8763 , -109.96 , 32.3299
1.31 , 37.2365 , -113.348 , 34.2325
1.32 , 32.9 , -109.96 , 32.3537
1.32 , 37.2365 , -113.348 , 34.2325
1.33 , 32.9 , -109.96 , 32.3537
1.33 , 37.2365 , -113.348 , 34.2325
1.34 , 32.8763 , -109.96 , 32.3537
1.34 , 37.2365 , -113.348 , 34.2325
1.35 , 32.9 , -110.007 , 32.3774
1.35 , 37.2365 , -113.348 , 34.2325
1.36 , 32.9 , -109.984 , 32.3299
1.36 , 37.2365 , -113.348 , 34.2325
1.37 , 32.8763 , -110.007 , 32.3062
1.37 , 37.2365 , -113.348 , 34.2325
1.38 , 32.9 , -110.031 , 32.3299
1.38 , 37.2365 , -113.348 , 34.2325
1.39 , 32.9 , -110.031 , 32.3299
1.39 , 37.2365 , -113.348 , 34.2325
1.4 , 32.9 , -110.007 , 32.3537
1.4 , 37.2365 , -113.348 , 34.2325
1.41 , 32.9 , -110.031 , 32.3537
1.41 , 37.2365 , -113.348 , 34.2325
1.42 , 32.8763 , -110.031 , 32.3537
1.42 , 37.2365 , -113.348 , 34.2325
1.43 , 32.8763 , -110.055 , 32.3537
1.43 , 37.2365 , -113.348 , 34.2325
1.44 , 32.9 , -110.031 , 32.3537
1.44 , 37.2365 , -113.348 , 34.2325
1.45 , 32.8763 , -110.079 , 32.3299
1.45 , 37.2365 , -113.348 , 34.2325
1.46 , 32.9 , -110.079 , 32.3299
1.46 , 37.2365 , -113.348 , 34.2325
1.47 , 32.9 , -110.079 , 32.3537
1.47 , 37.2365 , -113.348 , 34.2325
1.48 , 32.8763 , -110.079 , 32.3774
1.48 , 37.2365 , -113.348 , 34.2325
1.49 , 32.9 , -110.055 , 32.3537
1.49 , 37.2365 , -113.348 , 34.2325
1.5 , 32.8763 , -110.079 , 32.3537
1.5 , 37.2365 , -113.348 , 34.2325
