l1 0.093501, l2 0.119783, l3 0.0940253
1.8 , 37.2365 , -113.348 , 34.2325
1.81 , 37.2471 , -107.513 , 27.3177
1.81 , 37.2365 , -113.348 , 34.2325
1.82 , 37.2709 , -107.608 , 27.294
1.82 , 37.2365 , -113.348 , 34.2325
1.83 , 37.2709 , -108.083 , 27.294
1.83 , 37.2365 , -113.348 , 34.2325
1.84 , 37.2471 , -108.463 , 27.3177
1.84 , 37.2365 , -113.348 , 34.2325
1.85 , 37.2709 , -108.582 , 27.3652
1.85 , 37.2365 , -113.348 , 34.2325
1.86 , 37.2709 , -108.701 , 27.3177
1.86 , 37.2365 , -113.348 , 34.2325
1.87 , 37.2709 , -109.437 , 27.294
1.87 , 37.2365 , -113.348 , 34.2325
1.88 , 37.2709 , -110.411 , 27.294
1.88 , 37.2365 , -113.348 , 34.2325
1.89 , 37.2471 , -110.316 , 27.294
1.89 , 37.2365 , -113.348 , 34.2325
1.9 , 37.2709 , -110.577 , 27.3652
1.9 , 37.2365 , -113.348 , 34.2325
1.91 , 37.2709 , -110.625 , 27.3177
1.91 , 37.2365 , -113.348 , 34.2325
1.92 , 37.2471 , -110.744 , 27.294
1.92 , 37.2365 , -113.348 , 34.2325
1.93 , 37.2946 , -110.886 , 27.294
1.93 , 37.2365 , -113.348 , 34.2325
1.94 , 37.2946 , -110.886 , 27.294
1.94 , 37.2365 , -113.348 , 34.2325
1.95 , 37.2709 , -110.957 , 27.2465
1.95 , 37.2365 , -113.348 , 34.2325
1.96 , 37.3659 , -111.029 , 27.294
1.96 , 37.2365 , -113.348 , 34.2325
1.97 , 37.3659 , -111.1 , 27.3415
1.97 , 37.2365 , -113.348 , 34.2325
1.98 , 37.3659 , -111.124 , 27.3177
1.98 , 37.2365 , -113.348 , 34.2325
1.99 , 37.3421 , -111.433 , 27.3415
1.99 , 37.2365 , -113.348 , 34.2325
2 , 37.3896 , -111.67 , 27.294
2 , 37.2365 , -113.348 , 34.2325
2.01 , 37.3896 , -111.694 , 27.294
2.01 , 37.2365 , -113.348 , 34.2325
2.02 , 37.3896 , -111.694 , 27.2702
2.02 , 37.2365 , -113.348 , 34.2325
2.03 , 37.3896 , -111.718 , 27.294
2.03 , 37.2365 , -113.348 , 34.2325
2.04 , 37.3659 , -111.718 , 27.3177
2.04 , 37.2365 , -113.348 , 34.2325
2.05 , 37.3659 , -111.836 , 27.294
2.05 , 37.2365 , -113.348 , 34.2325
2.06 , 37.3896 , -111.931 , 27.294
2.06 , 37.2365 , -113.348 , 34.2325
2.07 , 37.3896 , -111.955 , 27.3177
2.07 , 37.2365 , -113.348 , 34.2325
2.08 , 37.3659 , -112.145 , 27.294
2.08 , 37.2365 , -113.348 , 34.2325
2.09 , 37.3896 , -112.406 , 27.3415
2.09 , 37.2365 , -113.348 , 34.2325
2.1 , 37.3896 , -112.406 , 27.3652
2.1 , 37.2365 , -113.348 , 34.2325
2.11 , 37.3896 , -112.383 , 27.3177
2.11 , 37.2365 , -113.348 , 34.2325
2.12 , 37.3896 , -112.406 , 27.294
2.12 , 37.2365 , -113.348 , 34.2325
2.13 , 37.3896 , -112.383 , 27.294
2.13 , 37.2365 , -113.348 , 34.2325
2.14 , 37.3896 , -112.406 , 27.389
2.14 , 37.2365 , -113.348 , 34.2325
2.15 , 37.3896 , -112.454 , 27.3415
2.15 , 37.2365 , -113.348 , 34.2325
2.16 , 37.3659 , -112.406 , 27.2702
2.16 , 37.2365 , -113.348 , 34.2325
2.17 , 37.4134 , -112.43 , 27.389
2.17 , 37.2365 , -113.348 , 34.2325
2.18 , 37.3659 , -112.406 , 27.3177
2.18 , 37.2365 , -113.348 , 34.2325
2.19 , 37.3896 , -112.406 , 27.3415
2.19 , 37.2365 , -113.348 , 34.2325
2.2 , 37.3896 , -112.43 , 27.3652
2.2 , 37.2365 , -113.348 , 34.2325
2.21 , 37.3896 , -112.43 , 27.294
2.21 , 37.2365 , -113.348 , 34.2325
2.22 , 37.3896 , -112.43 , 27.3177
2.22 , 37.2365 , -113.348 , 34.2325
2.23 , 37.4134 , -112.43 , 27.294
2.23 , 37.2365 , -113.348 , 34.2325
2.24 , 37.3659 , -112.406 , 27.3652
2.24 , 37.2365 , -113.348 , 34.2325
2.25 , 37.3896 , -112.406 , 27.294
2.25 , 37.2365 , -113.348 , 34.2325
2.26 , 37.3659 , -112.359 , 27.3177
2.26 , 37.2365 , -113.348 , 34.2325
2.27 , 37.3896 , -112.383 , 27.294
2.27 , 37.2365 , -113.348 , 34.2325
2.28 , 37.3659 , -112.454 , 27.3415
2.28 , 37.2365 , -113.348 , 34.2325
2.29 , 37.4134 , -112.454 , 27.3415
2.29 , 37.2365 , -113.348 , 34.2325
2.3 , 37.3896 , -112.454 , 27.3652
2.3 , 37.2365 , -113.348 , 34.2325
2.31 , 37.3896 , -112.478 , 27.294
2.31 , 37.2365 , -113.348 , 34.2325
2.32 , 37.3896 , -112.501 , 27.294
2.32 , 37.2365 , -113.348 , 34.2325
2.33 , 37.3659 , -112.525 , 27.294
2.33 , 37.2365 , -113.348 , 34.2325
2.34 , 37.3896 , -112.525 , 27.294
2.34 , 37.2365 , -113.348 , 34.2325
2.35 , 37.3896 , -112.525 , 27.3652
2.35 , 37.2365 , -113.348 , 34.2325
2.36 , 37.3896 , -112.573 , 27.3415
2.36 , 37.2365 , -113.348 , 34.2325
2.37 , 37.3659 , -112.597 , 27.294
2.37 , 37.2365 , -113.348 , 34.2325
2.38 , 37.3896 , -112.62 , 27.294
2.38 , 37.2365 , -113.348 , 34.2325
2.39 , 37.3896 , -112.644 , 27.3177
2.39 , 37.2365 , -113.348 , 34.2325
2.4 , 37.4134 , -112.597 , 27.294
2.4 , 37.2365 , -113.348 , 34.2325
2.41 , 37.3896 , -112.597 , 27.294
2.41 , 37.2365 , -113.348 , 34.2325
2.42 , 37.4134 , -112.668 , 27.3415
2.42 , 37.2365 , -113.348 , 34.2325
2.43 , 37.3896 , -112.715 , 27.3415
2.43 , 37.2365 , -113.348 , 34.2325
2.44 , 37.3659 , -112.739 , 27.3177
2.44 , 37.2365 , -113.348 , 34.2325
2.45 , 37.4134 , -113.095 , 27.294
2.45 , 37.2365 , -113.348 , 34.2325
2.46 , 37.3896 , -113.57 , 27.294
2.46 , 37.2365 , -113.348 , 34.2325
2.47 , 37.3896 , -113.594 , 27.3177
2.47 , 37.2365 , -113.348 , 34.2325
2.48 , 37.3659 , -113.618 , 27.294
2.48 , 37.2365 , -113.348 , 34.2325
2.49 , 37.4134 , -113.665 , 27.3177
2.49 , 37.2365 , -113.348 , 34.2325
2.5 , 37.3896 , -113.618 , 27.3415
2.5 , 37.2365 , -113.348 , 34.2325
2.51 , 37.3896 , -113.618 , 27.3177
2.51 , 37.2365 , -113.348 , 34.2325
2.52 , 37.4134 , -113.665 , 27.294
2.52 , 37.2365 , -113.348 , 34.2325
2.53 , 37.3896 , -113.642 , 27.294
2.53 , 37.2365 , -113.348 , 34.2325
2.54 , 37.3896 , -113.618 , 27.3652
2.54 , 37.2365 , -113.348 , 34.2325
2.55 , 37.3896 , -113.618 , 27.3415
2.55 , 37.2365 , -113.348 , 34.2325
2.56 , 37.3896 , -113.642 , 27.2465
2.56 , 37.2365 , -113.348 , 34.2325
2.57 , 37.3896 , -113.618 , 27.3177
2.57 , 37.2365 , -113.348 , 34.2325
2.58 , 37.4134 , -113.618 , 27.3177
2.58 , 37.2365 , -113.348 , 34.2325
2.59 , 37.3659 , -113.618 , 27.2702
2.59 , 37.2365 , -113.348 , 34.2325
2.6 , 37.3896 , -113.618 , 27.3177
2.6 , 37.2365 , -113.348 , 34.2325
2.61 , 37.3896 , -113.547 , 27.3415
2.61 , 37.2365 , -113.348 , 34.2325
2.62 , 37.3896 , -113.594 , 27.3177
2.62 , 37.2365 , -113.348 , 34.2325
2.63 , 37.3896 , -113.642 , 27.294
2.63 , 37.2365 , -113.348 , 34.2325
2.64 , 37.3896 , -113.618 , 27.3177
2.64 , 37.2365 , -113.348 , 34.2325
2.65 , 37.3184 , -113.642 , 27.294
2.65 , 37.2365 , -113.348 , 34.2325
2.66 , 37.3896 , -113.594 , 27.294
2.66 , 37.2365 , -113.348 , 34.2325
2.67 , 37.3896 , -113.665 , 27.3415
2.67 , 37.2365 , -113.348 , 34.2325
2.68 , 37.4134 , -113.618 , 27.3177
2.68 , 37.2365 , -113.348 , 34.2325
2.69 , 37.3659 , -113.665 , 27.294
2.69 , 37.2365 , -113.348 , 34.2325
2.7 , 37.4134 , -113.594 , 27.3177
2.7 , 37.2365 , -113.348 , 34.2325
2.71 , 37.3896 , -113.642 , 27.294
2.71 , 37.2365 , -113.348 , 34.2325
2.72 , 37.3896 , -113.642 , 27.389
2.72 , 37.2365 , -113.348 , 34.2325
2.73 , 37.3659 , -113.642 , 27.3415
2.73 , 37.2365 , -113.348 , 34.2325
2.74 , 37.4134 , -113.618 , 27.2702
2.74 , 37.2365 , -113.348 , 34.2325
2.75 , 37.3896 , -113.618 , 27.3652
2.75 , 37.2365 , -113.348 , 34.2325
2.76 , 37.3896 , -113.618 , 27.3177
2.76 , 37.2365 , -113.348 , 34.2325
2.77 , 37.3896 , -113.642 , 27.294
2.77 , 37.2365 , -113.348 , 34.2325
2.78 , 37.3659 , -113.57 , 27.294
2.78 , 37.2365 , -113.348 , 34.2325
2.79 , 37.4134 , -113.57 , 27.3177
2.79 , 37.2365 , -113.348 , 34.2325
2.8 , 37.3659 , -113.642 , 27.3415
2.8 , 37.2365 , -113.348 , 34.2325
2.81 , 37.3896 , -113.618 , 27.3652
2.81 , 37.2365 , -113.348 , 34.2325
2.82 , 37.3896 , -113.594 , 27.3177
2.82 , 37.2365 , -113.348 , 34.2325
2.83 , 37.3896 , -113.594 , 27.3177
2.83 , 37.2365 , -113.348 , 34.2325
2.84 , 37.3659 , -113.618 , 27.389
2.84 , 37.2365 , -113.348 , 34.2325
2.85 , 37.3659 , -113.618 , 27.2702
2.85 , 37.2365 , -113.348 , 34.2325
2.86 , 37.3896 , -113.618 , 27.3652
2.86 , 37.2365 , -113.348 , 34.2325
2.87 , 37.3896 , -113.665 , 27.389
2.87 , 37.2365 , -113.348 , 34.2325
