l1 0.093501, l2 0.119783, l3 0.0940253
2.11 , 37.2365 , -113.348 , 34.2325
2.12 , 34.5629 , -114.639 , 35.4893
2.12 , 37.2365 , -113.348 , 34.2325
2.13 , 34.6104 , -114.141 , 35.3705
2.13 , 37.2365 , -113.348 , 34.2325
2.14 , 34.6816 , -113.642 , 35.3943
2.14 , 37.2365 , -113.348 , 34.2325
2.15 , 34.7054 , -113.143 , 35.6081
2.15 , 37.2365 , -113.348 , 34.2325
2.16 , 35.1805 , -113.262 , 35.228
2.16 , 37.2365 , -113.348 , 34.2325
2.17 , 35.4418 , -113.737 , 35.5368
2.17 , 37.2365 , -113.348 , 34.2325
2.18 , 35.4418 , -113.642 , 35.418
2.18 , 37.2365 , -113.348 , 34.2325
2.19 , 35.4655 , -113.832 , 35.5843
2.19 , 37.2365 , -113.348 , 34.2325
2.2 , 35.5605 , -113.832 , 35.6081
2.2 , 37.2365 , -113.348 , 34.2325
2.21 , 35.6318 , -113.855 , 35.6556
2.21 , 37.2365 , -113.348 , 34.2325
2.22 , 35.9406 , -113.855 , 35.5605
2.22 , 37.2365 , -113.348 , 34.2325
2.23 , 36.1069 , -113.855 , 35.6318
2.23 , 37.2365 , -113.348 , 34.2325
2.24 , 36.1069 , -113.903 , 35.5368
2.24 , 37.2365 , -113.348 , 34.2325
2.25 , 36.1306 , -113.76 , 35.4893
2.25 , 37.2365 , -113.348 , 34.2325
2.26 , 36.1306 , -113.903 , 35.4893
2.26 , 37.2365 , -113.348 , 34.2325
2.27 , 36.3444 , -113.713 , 35.3943
2.27 , 37.2365 , -113.348 , 34.2325
2.28 , 36.4395 , -113.784 , 35.2992
2.28 , 37.2365 , -113.348 , 34.2325
2.29 , 36.4395 , -113.095 , 35.2755
2.29 , 37.2365 , -113.348 , 34.2325
2.3 , 36.4632 , -112.953 , 35.2755
2.3 , 37.2365 , -113.348 , 34.2325
2.31 , 36.4632 , -112.644 , 35.2992
2.31 , 37.2365 , -113.348 , 34.2325
2.32 , 36.4632 , -112.383 , 34.9904
2.32 , 37.2365 , -113.348 , 34.2325
2.33 , 36.4157 , -111.884 , 34.4678
2.33 , 37.2365 , -113.348 , 34.2325
2.34 , 36.4632 , -111.765 , 34.3728
2.34 , 37.2365 , -113.348 , 34.2325
2.35 , 36.4632 , -111.789 , 34.3253
2.35 , 37.2365 , -113.348 , 34.2325
2.36 , 36.4632 , -111.789 , 33.9452
2.36 , 37.2365 , -113.348 , 34.2325
2.37 , 36.4632 , -112.003 , 33.0426
2.37 , 37.2365 , -113.348 , 34.2325
2.38 , 36.4632 , -111.979 , 33.1613
2.38 , 37.2365 , -113.348 , 34.2325
2.39 , 36.7245 , -112.145 , 33.1851
2.39 , 37.2365 , -113.348 , 34.2325
2.4 , 36.867 , -111.931 , 33.1851
2.4 , 37.2365 , -113.348 , 34.2325
2.41 , 36.8908 , -112.098 , 33.0901
2.41 , 37.2365 , -113.348 , 34.2325
2.42 , 36.8908 , -111.931 , 33.1138
2.42 , 37.2365 , -113.348 , 34.2325
2.43 , 36.9145 , -112.05 , 33.0663
2.43 , 37.2365 , -113.348 , 34.2325
2.44 , 36.8908 , -111.908 , 33.0426
2.44 , 37.2365 , -113.348 , 34.2325
2.45 , 36.9383 , -112.026 , 33.0188
2.45 , 37.2365 , -113.348 , 34.2325
2.46 , 36.9858 , -112.003 , 33.0426
2.46 , 37.2365 , -113.348 , 34.2325
2.47 , 36.9621 , -112.003 , 33.0426
2.47 , 37.2365 , -113.348 , 34.2325
2.48 , 36.9858 , -112.026 , 33.0663
2.48 , 37.2365 , -113.348 , 34.2325
2.49 , 36.9621 , -112.026 , 33.0426
2.49 , 37.2365 , -113.348 , 34.2325
2.5 , 36.9621 , -112.098 , 33.0901
2.5 , 37.2365 , -113.348 , 34.2325
2.51 , 36.9621 , -112.121 , 33.0663
2.51 , 37.2365 , -113.348 , 34.2325
2.52 , 36.9621 , -112.169 , 33.0663
2.52 , 37.2365 , -113.348 , 34.2325
2.53 , 36.9621 , -111.86 , 33.0901
2.53 , 37.2365 , -113.348 , 34.2325
2.54 , 36.9621 , -112.074 , 33.0663
2.54 , 37.2365 , -113.348 , 34.2325
2.55 , 36.9858 , -112.026 , 33.0901
2.55 , 37.2365 , -113.348 , 34.2325
2.56 , 36.9858 , -112.05 , 33.0663
2.56 , 37.2365 , -113.348 , 34.2325
2.57 , 36.9858 , -112.193 , 33.1376
2.57 , 37.2365 , -113.348 , 34.2325
2.58 , 36.9858 , -111.931 , 33.0901
2.58 , 37.2365 , -113.348 , 34.2325
2.59 , 36.9858 , -112.169 , 33.1851
2.59 , 37.2365 , -113.348 , 34.2325
2.6 , 36.9858 , -112.074 , 33.1613
2.6 , 37.2365 , -113.348 , 34.2325
2.61 , 36.9858 , -112.074 , 33.2088
2.61 , 37.2365 , -113.348 , 34.2325
2.62 , 37.0096 , -112.121 , 33.2088
2.62 , 37.2365 , -113.348 , 34.2325
2.63 , 36.9858 , -112.098 , 33.2326
2.63 , 37.2365 , -113.348 , 34.2325
2.64 , 36.9858 , -112.169 , 33.2326
2.64 , 37.2365 , -113.348 , 34.2325
2.65 , 36.9858 , -111.979 , 33.2801
2.65 , 37.2365 , -113.348 , 34.2325
2.66 , 37.0096 , -112.169 , 33.2326
2.66 , 37.2365 , -113.348 , 34.2325
2.67 , 37.0333 , -112.098 , 33.2088
2.67 , 37.2365 , -113.348 , 34.2325
2.68 , 37.0096 , -112.121 , 33.3039
2.68 , 37.2365 , -113.348 , 34.2325
2.69 , 37.0096 , -112.359 , 33.4226
2.69 , 37.2365 , -113.348 , 34.2325
2.7 , 37.0096 , -112.098 , 33.5177
2.7 , 37.2365 , -113.348 , 34.2325
2.71 , 37.0096 , -112.264 , 33.6127
2.71 , 37.2365 , -113.348 , 34.2325
2.72 , 37.0333 , -112.169 , 33.6127
2.72 , 37.2365 , -113.348 , 34.2325
2.73 , 37.0096 , -112.24 , 33.874
2.73 , 37.2365 , -113.348 , 34.2325
2.74 , 37.0096 , -112.692 , 34.2303
2.74 , 37.2365 , -113.348 , 34.2325
2.75 , 36.9858 , -112.929 , 34.3016
2.75 , 37.2365 , -113.348 , 34.2325
2.76 , 37.0096 , -113.048 , 34.3491
2.76 , 37.2365 , -113.348 , 34.2325
2.77 , 37.0096 , -113 , 34.9429
2.77 , 37.2365 , -113.348 , 34.2325
2.78 , 37.0333 , -113.143 , 35.8456
2.78 , 37.2365 , -113.348 , 34.2325
2.79 , 37.0096 , -113.143 , 35.513
2.79 , 37.2365 , -113.348 , 34.2325
2.8 , 37.0808 , -113.214 , 36.3444
2.8 , 37.2365 , -113.348 , 34.2325
2.81 , 37.0333 , -113.238 , 35.0855
2.81 , 37.2365 , -113.348 , 34.2325
2.82 , 37.0333 , -113.214 , 34.9904
2.82 , 37.2365 , -113.348 , 34.2325
2.83 , 37.0333 , -113.024 , 35.3705
2.83 , 37.2365 , -113.348 , 34.2325
2.84 , 37.0096 , -113.214 , 34.254
2.84 , 37.2365 , -113.348 , 34.2325
2.85 , 37.0333 , -113.167 , 34.4441
2.85 , 37.2365 , -113.348 , 34.2325
2.86 , 37.0333 , -113.214 , 34.5629
2.86 , 37.2365 , -113.348 , 34.2325
2.87 , 37.0333 , -113.214 , 34.3966
2.87 , 37.2365 , -113.348 , 34.2325
2.88 , 37.0808 , -113.214 , 34.5391
2.88 , 37.2365 , -113.348 , 34.2325
2.89 , 37.0333 , -113.238 , 34.4678
